author,message
videoboer,Can Zondo get doctors to examine witnesses for sickness and mental issues like memory loss before they come there please
Margareth Waterboer,"The ‘Captured’ clan got the same illness so theft "@Sekaka Some advocates deal with a specific issue @JJ Elimimian What are you talking about...I can’t see that it deals with this inquiry.. "@Pastor J "Thx Gosh...what have we here... she’s so bewildered...and she works in SSA... GOSH Can’t handle... Is it really language tripping her up or incompetence to grasp questions...I mean she couldn’t even understand ‘it’s on the spine’.. I’m worried about such people in important work places... "Help me today...please dear father
Pastor J.J,I Pray and wish you all a safe and blessed day.........🙏🙏🙏🙏🙏 "Soon. Very very soon Gary It has not reached our station as yet @Maryann Diamond @Elvis Malakoane ...She says that no one can see her chats. Is there a way to unblock her? @Margareth Waterboer ...Just block him. He seems to be ranting on about nothing. @JJ Elimimian ....Please stop your comments and chats about nothing. You are becoming an unwanted distraction. Please show a bit of respect for us people who want to focus on the evidence. No red high heels for me or the other men @Kingsley Masha /////hahahahahahaha @makhosi nobhatyi ...His track record thus far leaves a lot to be desired. But he may have a lot of pals on the same train as himself. Definately a HOT seat.@Kingsley Masha @Singi Mathebula ...Apparently his wife was 67 or so when she died. But I am suspecting that it was merely a political stunt to cause maximum embarassment. @Rufus Pretorius ...Sorreeee bru but who is Karen? Very true@mokopa . "@Gareth Hellyar ....Can we do @Eliot Chauke . If Zuma was elected directly by the public and not the ANC NEC I doubt he would ever have been elected to be president. Many dont regard him as their president. U are an exception @Eliot Chauke ...I respectfully but utterly and totally disagree with you. It was a typical case of a fairer sheep leading the goats to the slaughter.They had a smile on their faces sadly whilst being slaughtered. Thats like a cult @Eliot Chauke "@wim louw ...hehehehehe. The same Carl Niehaus that ""killed"" his mother to borrow money again!!!!!" @Jimmy Reddy ...A Beeeeeeg Amen to that. "Surrounded by a whole lot more of them Conmen. @Elvis Malakoane . Now working for Ace Are you serious?@Dominic Przybylski Yoh. Thats scary Whose funeral@Pansophical Sceptic hahahahaha.@Pansophical Sceptic . I believe his mother did die eventually. Eventually after about 5 ressuructions. I believe the 6th was not a success. Carl eventually gave up..@Pansophical Sceptic And it has niks to do with Eishkom it seems @Elvis Malakoane Like a Defect it seems. But a bad defect..@Elvis Malakoane A Perfect10 it seems....@Spider I wish she will not repeat the question and stick to the basic Yes or No.Will save a lot of time. @Smart Guys ...I thought she meant Cowbells...hahahaha "Now. It may be necessary to do a clearance and polygraph on this lady""s qualifications." @Oscar N ..You may be right about the talk and embrace approach if it has a positive and amicable outcome. Being antagonistic is not acceptable though. @Immanuel ....hahahahahaha We trust you fully @Kenny Innes 300%. hahahahahaha "When she said 'Standard 1"" was she talking about the infamous JZ?" Not at all my friend. We had MrX recently. I was wondering if they are discriminating against MrY and Z@Pansophical Sceptic @thabelo justice mulokwe ...That would be Mr Z Coming soon...@Pansophical Sceptic . We may also try and use Mr JZ for that one
Ozzy Ozzy,We are Here Chair waiting for YOU
Thabisobruce Mncube,🙎🏿‍♂️ so Tsonga are scarce @matsidiso bantu time 😏
Jessica Nongile Malenga,patiently waiting in anticipation 💅
Gary Wood,let the games begin.... Let me guess...Dudu not arrested yet..?
Abel Matshidiso,@vedioboer 100% and he must follow the same route as dt Judge who scrutinized JZ sick note They r still looking 4 a Tsonga interpreter 😀😀😀 it's one of ur languages that turns t b ignored by d authorities @Skake Moshesh because she agreed t take a pay cut kkkkkkk who's dis evidence leader who actually decides these stupid questions that's got nothing to do with state security @Spider let them ask her abt her past nd see hw it's turn out this witness is a sexy liar 😀😀😀 just address ur answers t d chair not t miss Hofmayer she hv a sexy voice though "yaa I do agree I'm gonna hv a lunch with her t go through those pages Miss Myeni learned a lot frm JZ to corrupt the whole family if mr Y is Malema we're in 4 juicy afternoon kkkkkk
Lesego Nthiza,"NPA afraid of her "spine "very defensive Gareth 🤣🤣🤣🏃🏃🏃 "ministers can make amendments to an act
JJ Elimimian,Opp. Fund is afraid of us too... "Golden Boy "I'd tell Rupert Murdock and Johann look President R. Talking funny like I can find a two dollar r.i.p. Ramadan robe with zip and blockers "The applicant vs. what the agency can't stand A real machine table would have the cough syrup and the apple cider on the table with a terrenchella You going let the terrenchella open up to confusist order for your date. Mr. Fury knows Me. Wilders Latino name. "Mr. Trump aint got the order of the date to pass thru the gold coast on his way to Mr. Modi. My blood brother in Hawaii told me I can get a stallion statement faster than you get water to a womb "I got the colonial pelican's from Independence day. The horse cap I'll stop for Durbin ruins shake I'm gonna pull out like the six wonders of Earth no longer breeding like Gaza pyramids An act can only be restrictful or for gender and age gaps Find Mr. Referendum capitalized there for an act (- not) Go get you a subsidized cough suppressant before your virus spreads to hanerchief Against foreign Nationals; balance checks Raised like parks and recreariom Is the President's security staff clearance up to date with who bet bad Arouse him with the name and what gold be... Business or regular! Illustration Plan Among Y the lapsed dates not get reset torch.. She came there with Catholic ash trays One smells like manilla food The next sheet is as loose as a landing tuna dock Navy fighter coming and going like a free zone stage. Ketchup questions Metrical debacle scopes "The mad Russian is wherein we had affirmative action Or wood you curbside apartheid rash It was generated in a format in witch nothing leaked by air and the lashing. Categorical or numerical debacles meant who to the army farm Steps like we are to collude with the polygraph framework? Give me the moon auit order and the dwarf sun with notice two folks. "Mr.Y is your guy. Mr. y went for it on every 4+h down pre season game
Siya Manukula,isukile umbuzo wam kunini state capture sisenzeka kuzokwenzekani mhla laphela??
sanjay kumar,ok
Mntase,wooooow. This inquiry is white hot this week. lots of explosive things and lots of I CANT RECALL Oh.... I really like Adv Hofmeyer. What a brilliant lady @Pastor J perfectly stated. thank you
Sekake Moshesh,Guys any idea why Adv Hofmeyer is the only 1 leading these days Abel wa tla nqeta
