author,message
Madelein R,They have started according to Twitter 😂😂 "@Magda Seguin
The Truth,Eish SABC and their sound issues! You would have thought by now they know how to get it working 100% How's every1 today? Are we expecting explosives here? lol Yes is gud now @Norman Zwane haha... nice one Hai Normz... she looks like she has a babalas vandag... I miss Adv Molefe @Norman Zwane 😂😂 I'm sure she'll survive. Watch her turn into your babe once she puts on her glasses "@Norman Zwane Agrizzi's snake??🙆 Recipe for a ""toxic"" relationship lol. Try the new Adv Batohi" @psyfrequency Techno yeah yeah yeah... boring... we've had that sooo many times before. Just go fvote for whoever you want tuu "@Thinashaka Ramaleba leave all these ppl make useless noise. 9th May @Val Speirs DA more honest??? What? Why r they using black ppl to front their political agenda? Didn't see Zille or Tony Lion at the Rally in Soweto on Saturday "@MIKE LOCK could be true "EFF Is Mr Molefe to be trusted? @Thando Nkutha so true. We need Whistle blowers. Chairmen and CEO's r just going to spin a story to us @Norman Zwane hahaha!!! @Val Speirs go ask your fathers why are you suffering "@Norman Zwane true hey @Val Speirs just needs to go ask his forefathers why we are suffering. They know the truth... if they love him @Norman Zwane True. So why is @Val Speirs acting so ignorant towards the truth? Living a lie is shame... @Gareth Morgan That will be the big test for the ANC post 8May when they win with +60%. We want to see who goes to jail "@Norman Zwane What a total shame... the poor guy is now living either an ignorant life @Norman Zwane And to his right too!! lol "@Jacob Zuma what r u trying to say? That the black majority who are voting for ANC r fools @Norman Zwane 🤣🤣🤣 "@Jacob Zuma its is exactly because of your mentality "@Val Speirs you joke... You think DA's problem is ANC "@Jacob Zuma To understand "@Jacob Zuma So i'm right @Jacob Zuma IDENTITY THIEF! You should be reported to the South African Fraud Prevention Services or YouTube itself "@Tommy Adkins Tell us "@Xgratia I do @Xgratia I dont find humor in crime. So let it NOT be @Xgratia Are u @Jacob Zuma second account or what @Xgratia I may conscider voting DA the day DA stop's fronting a black face... maybe I'll trust em' a little bit "@Xgratia oh ok gud to know... just that after exposing the identity thief @Xgratia ok we'll go with tha @carnoth ngomane Exactly. And the DA doesn't actually see that this causes the black majority to distrust them the more! That this thing is beyond who appears clean and who's not @Thando Nkutha Totally agree. Humor can never be a disguise for racism "@Val Speirs Just shows you the long standing effects of poverty doesn't it? Political freedom "@Cerebis DA is in trouble. Maybe if they remove the black musk "@Tommy Adkins Deep down @Val Speirs but less than what they have right now "@Tommy Adkins Come on Did u see what happened in soweto this weekend with final rallies? DA couldn't fill 24k seater Dobsonville Stad. EFF filled Orlando (40k seater) . ANC filled FNB (94k seater) @Tommy Adkins But DA is NP reformed for post 1994 @Prinasha Mothilal I have no time for fortune tellers like you @Tommy Adkins Atleast you are true and genuine about who you are. I just happen to join in the mistrust that the majority has towards DA and their black mask "@Tommy Adkins When apartheid has taken your loved ones "@Tommy Adkins No person is better off @Tommy Adkins and don't dismiss the mistrust of the majority towards a party that uses a black face to garner black votes. DA has to do a bit more better than that to gain majority trust "@Thando Nkutha hai Thando @Thando Nkutha hahaha ok ok... I leave you alone @Thando Nkutha Nazi's are boring me now... I want to make u smile @Thando Nkutha Yeah I know. We just have to accept that they can never ever comprehend "@Tommy adkins which continent did @Sihle Arthur migrate from @Tommy Adkins Bwaahahaha!!!!! So you're existence is based on hearsay? Ai ungicedile... I'm out @psyfrequency Techno I've put no version forth. I simply asked 3 small questions
Magda Seguin,Polo Molefe testifying today. "Brian Molefe again on the agenda *Popo Molefe CNR received over a billion they have not paid back yet McKinley is also involved *McKinsey Exactly Judge The Gupta looters were everywhere Waiting to hear what judgement will be delivered today in the Karima Brown /EFF High Court case EFF is deeply involved in corruption by WhattsApp evidence of Floyd and his ex ANCYL pal at PIC "The race card is all people have @Sihle Arthur the proof is there in WhattsApp activity wait and see the outcome of Floyd millions by VBS "Floyd lives in Bryanston and Malema in Hyde Park They promise to double grants payments yet it comes more than the Eskom debt...they have no sense of economics "Communism oppresses just look at Russia "Yes there us a witness Mr Pretorious is busy with the introduction only Salim Essa..a Gupta lieutenant @Zola Pinda agree "My only fear is the behind the scenes scheming of the Zuma faction "Apartheid was a crime against humanity "@Cassius Mngomezulu the new SARS boss is going after them.A SARS employee was spying for 3 entities including BAT @King Vuka...same WhatsApp group as BLF "@Tommy Adkins people were systematically killed Condoning apartheid is really not on Really? So where is my brother buried?At Vlakplaas maybe? Bye @Tommy Adkins it is people like you that perpetuate racism Block the racists on both sides It is the white racists who will make me think twice of going back to SA I have come to understand the deep pain and anger if my people but the previous privileged have no excuse 54 billion let that sink in VR Laser...Gupta company Success fee is a robbing technique Same as Fana Hlongwana 'Success feel for the arms debacle @MIKE LOCK planet make believe Don't entertain them @MIKE LOCK they like to instigate nonsense I blocked those two a long time ago as well thanks Madelein "Lifestyle audits is extremely important @Part Venter...Will they be allowed on the ballot? I hope they ban them from the voters roll. @Peet Venter...sorry for the typo Breaking: Ballot boxes found in Tzaneen Limpopo "IEC workers also threatening to down tools on 8 May @Peet Venter I just saw the Equality court judgement "True And we know that the BLF had an elaborate meeting with Zuma a few weeks ago It is our job to watch "The BLF may also face criminal charges Blocking Sihle Arthur...let him talk nonsense to himself "Please help me out In the beginning I thought she was just summarising the introduction to the testimony
babette fagan,My sound super
Norman Zwane,"@The Truth Not 'explosive' Why can't I take my eyes off Miss September today? "Pity she's left handed @Deadbeat Cousin all those are wrong including Mr Pretorius' model C attempt. @The Truth To be fair my bae was Nomgcobo Jiba until CupCake Cyril sacked her. I wont me be seen hanging around with lawyers who are improper and unfit persons. I have my pride too. @Val Speirs Definitely not DA for me @Thinashaka Ramaleba Not ANC ever again for me. Still don't think the EFF either. "@psyfrequency Techno Your ""esidemeny"" just proves the point you sought to deny; the DA is white but Black for convenience." Did you guys see that blond? I'll vote for her anyday. "@MIKE LOCK Yeah they do you right @Thando Nkutha Cast your eye to the left of Pretorius and you'll be praying to your gods he does not finish. She's hot!!! "@Thando Nkutha It's the trains today Nkutha @Thando Nkutha I bet she has pins to die for. How much you betting Nkutha? with my luck she may just push back on a wheel chair. "@Val Speirs You just have a babalaas "@The Truth I know for a fact @Val Speirs he has @The Truth Them 4 fathers of @Val Speirs dont tell the poor guy the same thing thats what. Being Afrikaans hy't gedink die 4 forefathers was vier van hulle soos in sy belowe vierkleur. @Val Speirs Maybe one of the 4 fathers was not Afrikaans; maak net sekeer met die ander klomp vaders. @Thando Nkutha Downright disgusting. Worse zange baze badle nathi. @MIKE LOCK I think you are race baiting "Cheers "To the left of Pretorius hot "@The Truth Is more like the lone black piano key to the right @Danie Nilsen Amandla at Meadowlands stadium? Even Banyana no longer play there. amandla se voet man!! "@Tommy Adkins Yeah @Tommy Adkins Algal is Neef of swaer of tannie die hele duisend. @Tommy Adkins Whats new about that? "@MIKE LOCK Niks verkeet She is Miss???? @Thando Nkutha Kodwa who is she by the way? @Val Speirs The 'struggle' was called off post 1990 or were you not yet born? @Thando Nkutha Ngiyabonga @David David thanks.You on first name basis with the advocate or you just a google fundi? "@Cassius Mngomezulu Go to the dump sites @David David Don't play goodie two shoes with me...you had a motive to find out "@Sihle Arthur David Mabuza means it when he says uzoshaya abantu @Prinasha Mothilal You had a an excellent history teacher... that's how Jan van Riebeeck ended up here. "@Prinasha Mothilal Some drunk sailor shouted ""India!!"" and before you know it Van Riebeeck took a shot left. the rest as they say is his story." @Tommy Adkins Your Zulu spelling is atrocious. it's not Kush but INkUME from Uyoze ulutheze olunenkume. Our eldersassassinated King Shaka and they brought wood with 'dung' on it and we still regret. "@Tommy Adkins And who is ""we' in that statement." @psyfrequency Techno How can I forget Blood river? That was our worst defeat. "@Tommy Adkins ""Us boere"" Julle het Engelse tulpe gevreet in die boer in julle het gevrek. Immagine raiding Bop in bakkies thoinking its Bloed rivier alweer. So lekker geklap!" "@Tommy Adkins You are correct Tommy @Val Speirs I look at white corporations and look at their managers and wonder how different they think they are from the Chinese. The problem is numbers. "@Tommy Adkins I suggest we have a serious problem before us and this time @Tommy Adkins If you do not mind Tommy lets joust all we want but please lets give APARTHEID a wide berth. It is just not the right forum to walk on egg shells right here (that is if you dont mind) @Tommy Adkins Thanks. Just another advantage of talking with adults. "@Yolo More How did you come to 90% "@Yolo More Use your eyes mshana "@Thando Nkutha Ok ngimthanda kancane @Thando Nkutha Uhlanekezela amagama ami mfo. Ngithe ngiyamzonda wathi manshaming I change usungibheca ngobubende ngingadlanga nyama.
Sihle Arthur,Vote EFF.. jail the corrupt True Granny Mokwena. Vote EFF vote for Education "ANC and White privilege is one thing.. they all enjoy ear-conditioners while food  psyfrequency techno if you count EFF on your pit toilets.. you're being 100% stupid let China withdraw their investment we will take our sardine no truth that hurts here you DA puppet. Seek the Vision of the EFF and stop uttering nonsense how can we build to destroy? you are so afraid of change to a point that you think the EFF will destroy. we would have destroy it long time ago if we wanted to don't tell us of destroying Val Speirs Don't fool yourself DA is for whites in south africa not for all people stop giving us false information That why our CIC asked for a proof yesterday that link the EFF with the VBS psyfrequency Techno. what light? white privilege light? come on @psyfrequency Techno. it been only 25 years of freedom from your white privilege rulers and we have developed don't you see that? Go to your land and be truthful there not in our own expense Vote EFF.. let Away with DA and their racist followers @Peter Staffen. we were educated by your fathers when pulling that card it not on like serious @Magda Seguin these whites do not know their wrongful deeds and their privilege here in South Africa. if you do not believe me go to Orania Vote EFF hamba uye ezweni lakho uyolbuysela khona umhlaba kaZulu lo vote EFF VOTE EFF. VOTE EFF.. WE DO NOT CARE ABOUT WHITE AND BLACK ALL ARE EQUAL IN THE FACE OF LAW VOTE EFF @TOMMYADKINS go to Orania and you'll find apartheid @Denie Nilsen. as my doctor what do you prefer for smoking? VOTE EFF MALEMA FOR PRESIDENCY @Tommy Adkins if your DA is not trustworthy Vote EFF we will share Land we will not die if farmers stop farming we remove them from farms and employ new farmers it easy as that ha ha ha ha @Dilip Badal.. it us who cultivate the land vote EFF SIZOBUSA NGENKANI UMA KUNGENJALO SIZONISHAYA I KNOW THAT BLACKS CULTIVATE THE LAND AND WE HAVE COLLAGES OF AGRICULTURE WE WILL NEVER STARVE Vote CIC Malema Vote EFF @psyfrequency Techno sesbonwa uwena manje ukuthi silambile? aibo kahle wena. ai Lets seek where EFF is heading @Tommy Adkins ungalphathi ngeze igama likaZulu ha ha ha nanqoba senibize abangani benu ukuthi bazonilekelela kodwa sanishaya saninqoba ngomkhonto neHawu nina niza ngezibhamu magwala ndini Vote EFF.. let DA go back to their land askhohliwe ibona whites have no land in Africa particularly in South Africa do not fool yourself @psyfrequency Techno. we would have chased your fathers back home in 1994 but we chose peace so you're here for the sake of peace do not think there is something more than that History people History not long ago 25 years back we would have and your white apartheid president bailed you out by releasing Nelson Mandela and his colleagues. Ningazenzi ncono ngath la Russians is our favorite snack so if they come we will share everything we have equally as we share it with you Whites @Tommy Adkins you know nothing ke about my history .. @Tommy Adkins and you know better😂 Vote EFF "we were cultivating our land @Tommy Adkins uneducated where? in your land or mine? you are educated in the wrong place my friend @Tommy Adkins yes you are you've agreed to be equal as me @Tommy Adkins those days are long gone my friend if not go back home this is my land not yours @Val Speirs now you get it. @Tommy Adkin you do not have a land here how can you have a farm then?
Deadbeat Cousin,"Is it pronounced as Prima Facie or Prima Facie Hahaha 😂😂😂😂
Granny Mokwena,"some of my reasons for not voting the ANC! The blatant looting if taxes is unforgivable
kleophas max,blf is for us.....the others are already on the train.....and mean/doing nothing for the landless...... DA...is a window dressing.....had no respect for the dead
makhosi nobhatyi,Does transnet will tell us who hire Gama? Wat procedures were followed? I assume there is no witness today @Val speirs I think only one way or another he can know just arrest him This is where it all started to loot state money and control executives "Poor Miss was bluntly used to enrich some individuals and herself Ramaphosa will win this election with convincingly victory 16 Million will vote for ANC Where is Singh? Does he still here in this country? He is all over at this state capture
Born free,Prepare for a dark winter folks. China has withdrawn its down payment of R7 billion China has withdrawn its down payment of R7 billion to Eskom to build two power stations. The kian total R33 billion. China is not convinced this money will be spent on the Power Stations. Dark times ahead.. load shedding day in and day out 😔 Guarantees and assurances have not been honoured in the past as per this Commission of Enquiry into State Capture Malema has promised everything for free but he doesn't say where the money is coming from. The DA is more honest can't promise everything for nothing . DA are realistic and a party that represents all South Africans. The only performance I have seen by the ANC.. is looting State Entities. ANC has abused its power of governance and is in breach of its statutory duties to this country. They are communist parties Zuma is so dumb he still doesn't know that he was captured by the Guptas and Watson. He was out there campaigning with State Gangster Ace. They have no guilt about their involvement in State capture Yes and I am suffering as a result of the ANC corruption The entire country is suffering because of the ANC Corruption. Forefathers are dead and gone trust you own judgement while you are on this earth. "They also come from Nigeria Actually I am not Afrikaans I am really Lucy Khoisan All those that are citizens of this country belong here whatever colour you are. The Titanic the lights will soon go off we will allow Julius Malema to sort the ANC out 😂😂in Parliament. He really has it in for Zuma and Cyril Jacob if you don't have the VBS money then Julius must have it. Jacob.. what's wrong with you? I see you and Ace are starting your own party the ATM does that mean Automatic Transfer Machine.. like transferring all state funds to your accounts or what? Yes nothing but the DA will be second and in 5 years the ANC and EFF will be history. Ja but Jacob there is an enquiry going on as we speak about you and your comrades and stealing from the public purse and you act like you are still the man Danie the didn't their qualifications were drawn out of a lucky packet. Zumas Black children will never struggle he has stolen enough money invested it off shore. All Of the State Entities have been captured. It is all very well getting land for free but it takes alot of Money to farm the land. What are you talking about Zwane? You think you can just go and farm it takes knowledge and hard work to farm something blacks do not do so well. Tracey Henry is not a south African EFF have not explained where they will get money from to give the majority who are poor.. free everything.. explain that! Tracy you are a troll living in the Bahama's Tracy as I said before your titanic notions consume a piece of cheese. Who comes to your aid in the Bahama's.. the Europeans that's who It is a white man who rents his home in Sandton to Malema and pays towards his campaigns. This man helps Malema financially but he is a Russian crook. Ramaphosa has made billions from economic apartheid.. since 1994. He is the second wealthiest man in South Africa Yes that will be true Tommy. Tracey Bahamian Henry what brings you to this debate you can't even vote so what is it? Tracey is a Troll with no voting rights DA will have a much higher percentage than the EFF Great Tracey has gone too far and this hate speech has implications. We will see on the day I mean I have 15 million votes. Not a right to hate speech you were referring to the hate speech If the EFF wins which I doubt.. the Russians are coming be aware. If the ANC win the Chinese are definitely settling here after all they will own Eskom . The Chinese will out number the blacks in this country. The Chinese are coming to take over the economy there's is slowing down. ANC =The Chinese.EFF=The Russians Like I said the Chinese will invade and they have military might. Africans won't stand a chance You just have to see how many Chinese there are in Botswana and they only employ their own people on contracts. The government will have to share the land it has already expropraited from white farmers since 1994. You were happier then in the mud huts and life was simple and there was respect for the elders. I am a citizen of this country I have my dompass to prove it. And I am voting DA on Wednesday I have 15 million votes. People were happy when they had mud huts and loin cloths. too.. Tommy it means Europeans were in Africa first but were neanderthals then and then migrated to other continents where they evolved.
