author,message message
HALO,End the anc.
Quinton van Eeden,salaam infidels 🤣 "fact remains - as a qualified lawyer and company secretary @Lerato Moleke - the evidence thus far does not suggest participation on her part - methinks she was simply in a job too big for her @Heather Durr 🌹 @Stix Mtolo 🤣🤣🤣🤣 @Stix Mtolo - his passing leaves the door open for him to now become the fall guy in this sorry saga @Mzwanele shange 🤜 @SABC News - then why is eNCA up and running? @Cooler Cat - Majavu is top drawer only problem with the eNCA feed is the nonsensical banner updates @hirsitus 👍 @TW Ntshingila - don't agree - Arden in NZ is doing a great job - so did Margaret Thatcher @TW Ntshingila - then I'll let the likes of Min Naledi Pandor take you to task 🤣 - you're on your own here "@TW Ntshingila - is Peters an utterly useless individual - yes @TW Ntshingila - then we are ad idem 🙂 @TW Ntshingila 🤣 Majavu giving Soni pointers on how to lead a witness - he should give him a copy of Colman on Cross-Examination @Immanuel - maybe his clients did not have winnable cases in the first place - I judge a lawyer on his knowledge and practice of the law and collegiality - Majavu is a class act - Mpofu a showboater Soni must simply ask her direct closed-ended questions - Majavu will object if he feels it is unfair also did the 123 123
Diane Louw,Hi Quinton and HALO so i was right on Friday on why DCJ was keeping on about the guarantee etc cause he caught her in a lie and that laid the foundation for the rest of the time.. Lerato remember when i said she was part of the legal team as she drafted papers etc..... hi marttha and bongile And did you see her reaction when Seleka told her about the radio into and where she was named as being Businessman??? into = interview correct Martha hi Teunis and sneakerhead and charlie Yes saw the headline now..... Died in EC Hospital wander what kokos reaction was to hearing her statement about him knowing about everything... "hi stix yes frederick "hi valencia hi Heather oo nice lipstick alive on purpose Valencia and you? lol Heather talking about the witness lol haha melds - she has a honest face tho agree teunis yes i saw Valencia R30 million plus all will soon be revealed melds proud on entering the import important phase sounds like the one from India Previous and gm to you hi sv1 hi tommygun yes Teunis they are giving us the correct figures etc so yes Johnson and Johnson is tops at the moment. yes Valencia she did hi ma baker oi here we go...... sy praat lekker Afrikaans so does not need to be sorry for that... hi Kevin and PJ hi Jenny net so Christy what you all think about the latest of Bushiri saga "Daughters and mother in law tried to escape to Kenya. Malawi dont really know where shephard and mary are they think they somewhere in a hospital but not sure yes Jenny i get that sense too "funny she does not say ""study group meeting"" lol" hi hirsitus hi goatee Jabu he heard you nope Goatee is that the current head thats on suspension Andre? lol hi shirley where Naledi i need a long cold cocktail..... tea time oh thank you Alta starting early today lol dankie ALTA ek vlieg saam... haha alta Heather can i presume that you will keep up updated on the Tax speech interesting on the Justice Project of wrongdoings  ie capture errors etc missing those fat cakes Martha really Heather - what they saying Lerato - makes on wonder doesnt it meeting was fruitless HAHAHA another meeting that was not minuted and monies wasted oi babies crying non stop martha as well previous where is that list by the way 10 yrs to implement those plans definitely African times... Previous i head but want to see the list for myself jip Previous SAL SA i forgot the question too lunch time is soon tooo ah Goatee i have patience where did she get her degree from oo looks cross now boom those notes should of been provided  but you had it before you did your avadavit so..... oh bululo helped with these documents hmmmm hi louis c made tea and sandwich and we still busy jinne everyone is getting blamed but they themself not hi lalitha ditto dcj is struggling with putting his words clearly across to witness agree Be can anyone remember the name of the witness that came in his Hawaii shirt to this commission morning all lol she put me to sleep with her stories fm pastor jj and the same to you and yours gm melds and Kevin yes melds to set a court date gosh i though i was the younger one here but jinne yesterday was just too much lol hi heather hope you slept well "i see they want a 2 yrs sentence for him only yes Heather its heard today i love that colour lipstick  gm moonchild katie only does SAA short example haha malawi issues arrent warrant for bushiri after blocking daughters treatment abroad eskom warned its pricing itself out of the market cabinet is not a rubber stamp hello it is as the anc says what must be dealt and passed and what does not.. you statement is ridiculous Chairperson.... Buti it was to tight and too high yes it was convenient not to have a gceo so that looting could continue cripple her ministry she did it herself' molefe has a LOT to answer for gm sal sa and fieliessa they were waiting on someone to move up the ranks first and he was supposed to take over - just say it dammit slim pastor jj what has the election day got to do with electing GCEO thanks melds oh now its the deputy president.. after the concourt decision there were rumours that the commission could recall her and that she has to answer the questions refresh herman as mine isnt buffering she is exhausting "gm Previous trying my best to carry on under the circumstances you doing well Previous? no problem Previous gm sv1 and aubrey sound is so so soft from dcj hi louis c and zip exactly Lerato and gm tea  not having any due to her having to leave for flight apparently who is gomez ah thank you pastor jj tommygun im trying to place her i think so..... her name is mentioned very little ahhh thanks tommygun that is wishful thinking @Jenny Whitewaves  thanks @zip reeper  wb melds hi valencia is he refering to werksman report sorry i cant hear him well didnt ask her if she has dealings with Guptas.. who is up next thanks Heather name names sweetie and dont hold back as you dont owe them anything whistleblowers should be looked after imho hi teunis sabc work on dcj sound plse!!! did he say big white company came in "moonchild get in line melds im before you lol IEC is corrupt imho its all ANC
Lerato Moleke,Greetings All .. What makes her story more airy fairy is that her Eskom title was Head: Legal & Compliance - why did she agree to that fancy title & salary if her role didn't extend to legal matters? "💯 @Diane - ""angelic"" Suzanne is no whistle blower she was a BIG part of this but got screwed " "@Martha 😳 "@Martha Greetings @Previous  Glorious greetings @Heather and everyone who joined the chat after me "Hey @Stix - Twitter shares your sentiment "Yeah @Quinton - given that ""dead men tell no tales"" " "F2F evidence Yhoo sorry @Mzwanele - glorious greetings to you So @SABC your connection gets affected by rain vele? @Previous - I'm @LrtMoleke on Twitter eNCA is also blank - I have it open on my other screen eNCA back ON Ok I see home sweet home @SABC☺️ is also back ON "Glorious Monday @Melds "Howdy @Sal SA @Martha 😂🤣💦  "@Rohan - noenoes nogals 😅😁 .. Today's gonna be a lovely day - haters @Valencia - ANDIZI they can hate and troll all they want. I've already divided them by zero = invalid  @Akhonamandla - uqalile neh @Valencia - fake vaccines were discovered here in my beloved GP "Ndiphilile shlobo sam @Akhonamandla .. @Previous check Jacaranda on Twitter "Exactly @Valencia - it's the Peters Hunt Yhoo @Maritime Studies Howdy @Yolo😊- you like sneaking in wena Yeah @Previous - 50/50 "Hee banna bo-mkhongi in the mix ""lobola negotiators""" "@Goatee - I replied .. Ke sharp "@Goatee - it's ""sthandWa"" - add the W" "Haaa @Goatee - Bheki "@Goatee - akere they say ""the virus doesn't move "@Goatee - I'm old fashioned and DON'T do any hunting "@Previous - older than you "@Goatee - NDZ "@Martha & @Lalitha - yeah "Heya @Kelly dear "@Maritime Studies "@Maritime Studies - let her be @Heather - not sure why Twitter seems to think Diko's death is fake like Watson's🤷🏽‍♀️ "@Previous - I'm NOT in agreement with Twitter "@Diane 😂🤣💦 - yuu some of the comments on Diko are heartless "@Koketso - yup "Mhhh @Sal SA "Seems there's lots of ""hunts"" - Bongo says there's a witch hunt against him" "@Thabo Seoko - come Wednesday we want bean soup not a ""sick note""" "Hehehe ""slipped through""" Yooh @Lalitha - some of these testimonies sound like movie scripts yazi "@Melds melds and Sunday newspapers make it worse "DCJ is ""lovable"" when Seleka is not around - he's as sweet as honey " She clearly didn't heed the leader's wise counsel Hey @Diane - am trying listen while writing a work report. I hope I'll get 30% for both - it's a pass according to Angie🤷🏽‍♀️  Heya @Mashudu - are you well Sir "@Mashudu - am juggling and exhausted "@Louis C Skills audit - few people would qualify to be there incl. you Ms Peters Ta @Walter 😊 - hope you are well .. Howdy @Melds @Valencia  I see the Comp Commission is recruiting  "@Stix Hawu @Danile  @Danile - I'm in stitches
Martha Sello,hi Lerato hi Diane I think is Dipuo Peters I see news channels 403 and 405 are reporting that Khusela Diko husband has died except sabc 404. Does sabc know something else? @Lerato 👍 @Lerato thanks. MHSRIP condolence to Khusela Diko hi Heather @Heather Lucky Montana @Frederick that's what is surprising that SABC is not reporting the death. @Frederick yes @Jabu sabc is so pathetic after the story has been live for 2 hours they are only breaking it now! morning @Valencia morning @melds oh Dipuo Peters doing the Christian sign cross. Hope she won't tell lies 🤣 @Lerato did you see that? 🤣🤣🤣 who is this Advovo? I am already falling asleep 🤔 "@Valencia I am not not @Albert eish yah neh @melds its rich coming from butternut head @TW Ntshingila i think the only case he did well on was the young boy case in northwest of Eugene Terblanche murder. other than that his just a celebrity lawyer letsoalo @Lalitha C tell me about it i would rather have vetkoek lady to come back and Ms Mbanjwa 😂😂😂😂😂😂 this really sad not a laughing matter so Dcj has made peace with the fact that butternut head won't appear before him too many woman in his life that's why he was sleeping in Meetings @Diane keeping him busy at night 😂😂😂 some are called Lucky some are called Ntate Molefe! what is wrong with this lady? @Joel why lengana? 😂 @Joel haaibo maybe comobidities 😂 @Joel ke sono ka yena shem @Joel ba ka se mo sware oo @Sydney she's 60 @Maritime she's also sleeping she is sleepist
bongile sango,Hallo my people suppose to be already picked up this loadshedding by Sabc haybo
MK Nzuza,who is this minister who is coming today?
charlie zamile,"can anybody tell me please "@Martha Sello  "@Cooler Cat "ooh! another rally political statement Adv questioning time now! stop this song she thinks she's in the rally of the ANC campaign questioning questioning time now!  "@Fortune yaka "Goatee! he will be arrested "@Jenny Whitewaves "@ Jenny no l don't think so well said Adv Majavu!  face mask madama "Kevin W "@ Kev W "@melds melds . l know u don't messed up with blokes ooh crap! was Motana the only person in south africa can do things others couldn't? "@ Lalitha C "@ALTA  "@ ALTA "@melds melds "@melds melds "@melds melds  "zuma knew what he was doing "zuma saw it coming thats why he went sleep yes u were lobing ! "@Stix Mtolo ha ha ha ha ha""she will shout""" "@14nateg "@Mphikeleli Masinga "@ Mphikeleli masinga "@Mphikeleli Masinga "@ Mphikeleli Masinga "in zuma the issue is about millions&millions if not billions "@ Mphikeleli Masinga  "@Mphikeleli Masinga "@ Tommygun. l don't condone what zuma did
NOOB GAMERS,nope lol probably
Teunis van Ree,nope hello @Diane Louw 🌹 I agree @Quinton van Eeden hello @Previous Nkopodi hey @Lerato Moleke 🌹 Great night and morning - rain and thunder 😁 Dipuo Peters oor ORASA You OK @Pastor J.J? oops #405 hi @melds melds 🌹 hey @Valencia J 🌹 Lekker @Valencia J dit reen aanmekaar en ons het 'n great naweek geha d @Valencia J eergister het die wind hier in die Noorde begin waai en dit het vir my gevoel herfs is hier deployed 🤮 says it all ANC government? I thought we had a national government? @Diane Louw so far I would prefer the J&J vaccine @Valencia J I love high heels 🥴😁 yes😁 pause. Time to prepare lunch 🤗 yes DCJ "ndi matshelone @Goatee ri nga pfa ngeo? lotsha @Candy Olga haha @Goatee @Goatee been working and living in the region for 36 years. An elder taught me the basics @Goatee 30% lol "@Goatee I love languages based on tonal inflections like Tshivenda and Mandarin Hiya sweet @ALTA 🌹 ANC again 🤮 123 yess GM all 🤗 hi there @Pastor J.J and @Heather Durr 🌹 hello @Diane Louw 🌹
